16,Vietnam,,,,,,,,,,,+2,,,,,,,+3,,+1,+1,+1,+2,,+2,,+1,+1,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nepal,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,France,,,,,,,,,,,,+3,,,,+1,+1,+1,,,,,,,,,+5,,,,,,,+1,,,,,,,,,,+2,+4,+20,+19,+43,+30,+61,+21,,,,,,,,,,,,,,@FrCovid19,,,,,,,,,,,
43,Australia,,,,,,,,,,,,,+4,,+1,,+2,+2,,+3,,,+1,+1,+1,,,,,,,,,,,,,,,+4,+2,+1,,,+1,,+2,,+4,+1,+2,+11,,,,,,,,,,,,,,,,,,,,,,,,
50,Malaysia,,,,,,,,,,,,,+4,,,,+3,+1,,,,,+2,+2,+2,+1,+1,+1,+1,,,+1,,+3,,,,,,,,,,,,+1,+2,,+4,,+7,+14,,,,,,,,,,,,,@alanusedbooks,,,,,,,,,,,
33,Canada,,,,,,,,,,,,+1,+1,+1,,,,,+1,,,+1,,,+2,,,,,,,,+1,,,,,,+1,,,,+2,,+1,+2,+2,+4,+4,+3,+3,+3,,,,,,,,,,,,,"@officialEBoland
",@diab_elie,@radicle110,,,,,,,,,
1,Sri Lanka,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Germany,,,,,,,,,,,,,,,+1,+3,,+1,+2,+1,+2,+2,,,+1,+1,,,,+2,,,,,,,,,,,,,,+2,+12,+21,+26,+4,+49,+35,+38,+37,,,,,,,,,,,,,@niemieckapolity,,,,,,,,,,,
27,UAE,,,,,,,,,,,,,,,,,+1,+3,,+1,,,,,,+2,,,+1,,,,,,+1,,,,,+2,+2,,,,,+6,,+2,,,+6,,,,,,,,,,,,,,,,,,,,,,,,,
7,Finland,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+1,,+3,+1,,,,,,,,,,,,,,,Maire,,,,,,,,,,,
28,India,,,,,,,,,,,,,,,,,,+1,,,+1,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+1,+22,,,,,,,,,,,,,@Sanchari_23,,,,,,,,,,,
3,Philippines,,,,,,,,,,,,,,,,,,+1,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cambodia,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,502",Italy,,,,,,,,,,,,,,,,,,+2,,,,,,,+1,,,,,,,,,,,,,,,+17,+59,+73,+76,+95,+143,+184,+238,+220,+581,+347,+466,,,,,,,,,,,,,,@JJ_Cappa,@Mus0ItA,@WhiteStar97,,,,,,,,,
53,UK,,,,,,,,,,,,,,,,,,,+2,,,,,,+1,,,+1,+4,,+1,,,,,,,,,,,+4,,,,+3,+4,+3,+13,+4,+11,+2,,,,,,,,,,,,,@mayferch,,,,,,,,,,,
3,Russia,,,,,,,,,,,,,,,,,,,+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sweden,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+5,+4,+2,+1,+1,+15,+2,,,,,,,,,,,,,,,,,,,,,,,,
168,Spain,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,+1,,,,,,,,,,,,,,,+1,+4,+6,+14,+15,+23,+18,+41,+44,,,,,,,,,,,,,,@Sukeema,@soldiciembre,@RubenApps,,,,,,,,,
23,Belgium,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+6,+5,+10,,,,,,,,,,,,,,,,,,,,,,,,
2,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,922",Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+3,+13,+10,+15,+18,+34,+44,+106,+143,+205,+385,+523,+835,+586,,,,,,,,,,,,,@mohsenbarekati,,,,,,,,,,,
15,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+1,,,,+1,+3,,+4,,+2,+3,,,,,,,,,,,,,,,,,,,,,,,,
13,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,+1,+1,,+1,+6,+3,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+5,+6,+15,+17,+2,,+1,+10,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+21,+10,,+5,,+9,+2,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+4,,+2,+1,+5,+6,+7,+6,,,,,,,,,,,,,,,,,,,,,,,,,
12,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+2,,+2,,,,,+6,,,,,,,,,,,,,,,,,,,,,,,,,
27,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,,+3,+1,+3,+5,+4,+6,+3,,,,,,,,,,,,,Tanja Malle,,@scharlatanja,,,,,,,,,
9,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+2,,+2,+1,+1,+1,+1,,,,,,,,,,,,,,,,,,,,,,,,,
61,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+7,+7,+3,+6,+18,+15,+4,,,,,,,,,,,,,Tony,,,,,,,,,,,
8,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,+2,+2,,+3,,,,,,,,,,,,,,,,,,,,,,,,
2,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+2,+1,+3,,,,+1,,,,,,,,,,,,,@Onomastos,,Dionisios Lymp.,@Dennie____,,,,,,,,
5,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,,,+2,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+1,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+3,+2,+9,+4,+6,+8,,,,,,,,,,,,,,Marianne,,,,,,,,,,,
4,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+2,,,,+1,,,,,,,,,,,,,,@Gorunalex,,,,,,,,,,,
10,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+1,+1,+1,,+6,,,,,,,,,,,,,,,,,,,,,,,,,
2,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
23,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+1,+5,+3,+8,+5,,,,,,,,,,,,,,,,,,,,,,,,,
10,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,+7,+2,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
6,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,+2,+3,,,,,,,,,,,,,,,,,,,,,,,,
3,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+2,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,+2,+6,+5,+2,,,,,,,,,,,,,,,,,,,,,,,,
1,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+2,+4,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+5,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
5,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+3,+1,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2,+2,+1,,,,,,,,,,,,,,,@_morning_,,,,,,,,,
1,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Argentina ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,
1,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,,,,,,,,,,,,,,,,,,,,,,,,
